Token,Wallet,EtherDelta,IDEX,Token store,Enclaves,Decentrex,Total,Bid (ETH),Estimated value (ETH),Token contract address
SIM,10000,0,0,0,0,0,10000,,,0x86c8bf8532aa2601151c9dbbf4e4c4804e042571
SNS,1000,0,0,0,0,0,1000,,,0x0189d31f6629c359007f72b8d5ec8fa1c126f95c
SOX,188,0,0,0,0,0,188,,,0xf81a850ee58fdd08eee998deeb4652edc5f2a4df
SPS,276,0,0,0,0,0,276,0.000000002,0.000000552,0xd9a72fec8683db0666769d841d6d127f350b4418
TB,8,0,0,0,0,0,8,,,0x6158e3f89b4398f5fb20d20dbfc5a5c955f0f6dd
TEU,10,0,0,0,0,0,10,0.000205,0.0020499999999999997,0xeeac3f8da16bb0485a4a11c5128b0518dac81448
TFD,2162.376237623762376237,0,0,0,0,0,2162.376237623762376237,,,0xe5f166c0d8872b68790061317bb6cca04582c912
TFOOD,2162.376237623762376237,0,0,0,0,0,2162.376237623762376237,0.000011,0.023786138613861384,0x940d73c91db9f82440702f6cc8323a8c60583777
UAT,1000,0,0,0,0,0,1000,,,0x5fa1ea99eb3acc1f9e84cf28fde6431b8fdc9dc0
UCT,5,0,0,0,0,0,5,,,0x3c4bea627039f0b7e7d21e34bb9c9fe962977518
UNC,500,0,0,0,0,0,500,,,0x4dcadd9adfd450c2ef997bb71888c2995e2d33a0
UUU,100,0,0,0,0,0,100,,,0x3543638ed4a9006e4840b105944271bcea15605d
VGS,300000,0,0,0,0,0,300000,,,0x4c9d5672ae33522240532206ab45508116daf263
VIN,7.77,0,0,0,0,0,7.77,,,0xf3e014fe81267870624132ef3a646b8e83853a96
VME,6,0,0,0,0,0,6,,,0xc343f099d3e41aa5c1b59470450e21e92e2d840b
VST,40,0,0,0,0,0,40,0.000026001,0.00104004,0x552ed8253f341fb770e8badff5a0e0ee2fd57b43
WED,1000000,0,0,0,0,0,1000000,0.00000001,0.01,0x7848ae8f19671dc05966dafbefbbbb0308bdfabd
WEED,3000,0,0,0,0,0,3000,,,0x80b01885b0ac83c39190ee07649b378a06a6ed10
WFEE,50,0,0,0,0,0,50,,,0xa37adde3ba20a396338364e2ddb5e0897d11a91d
WLST,100000000,0,0,0,0,0,100000000,,,0xd7b06571942f1c76ceda0e26db8dd4c1acb59cbf
WZI,410,0,0,0,0,0,410,,,0xb8327f32127afe37a544c52b628653e222a93bad
XMRG,500,0,0,0,0,0,500,0.0000000003,0.00000015,0x0f598112679b78e17a4a9febc83703710d33489c
YEE,50,0,0,0,0,0,50,,,0x922105fad8153f516bcfb829f56dc097a0e1d705
ZIG,25,0,0,0,0,0,25,0.0000005,0.00001249999999999999,0xe760a89967d8c7fa638eebfc15a77ba107674021
